periodosin,pulsosin,periodocon,pulsocon
0.8,0.395,0.92,0.174
1,0.235,1.03,0.032
1.1,0.187,0.93,0.145
1.3,0.027,0.8,0.308
1,0.217,0.92,0.155
1.1,0.182,0.97,0.104
1,0.235,0.84,0.236
1.1,0.197,1.07,0.005
1.7,0.014,1.04,0.019
0.8,0.005,0.73,0.355
0.9,0.251,1,0.058
1.2,0.117,0.92,0.18
0.8,0.395,0.88,0.205
0.9,0.293,1,0.053
0.8,0.335,1.03,0.032
1,0.235,0.9,0.189
1.2,0.116,1.03,0.039
1.3,0.08,0.69,0.441
0.8,0.308,0.84,0.236
0.7,0.585,0.8,0.308
1.1,0.193,0.81,0.298
0.8,0.416,0.84,0.236
1.1,0.009,0.99,0.097
1.1,0.187,0.79,0.326
0.9,0.254,0.9,0.18
1.3,0.08,0.92,0.18
0.8,0.005,0.73,0.355
1.1,0.187,0.79,0.326
1.1,0.184,0.8,0.308
0.7,0.422,0.94,0.14
1.1,0.184,0.82,0.281
1.3,0.072,0.82,0.281
1,0.235,0.84,0.256
0.8,0.335,0.74,0.348
0.8,0.377,0.94,0.132
0.9,0.293,0.74,0.348
0.9,0.29,0.95,0.13
1.1,0.184,0.92,0.155
0.8,0.335,0.81,0.296
0.7,0.585,0.97,0.104
1.1,0.162,0.81,0.298
1.1,0.182,0.9,0.18
1.3,0.027,0.8,0.308
0.7,0.422,0.74,0.348
1.1,0.212,0.9,0.189
0.8,0.416,0.78,0.338
0.8,0.377,0.81,0.296
0.9,0.236,0.82,0.281
1.3,0.027,1.03,0.039
1.3,0.072,0.93,0.143
0.9,0.303,1.02,0.042